gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
2802091063,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS932282674,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza calandra,,SPECIES,"Emberiza calandra Linnaeus, 1758",Emberiza calandra,,GB,Pitstone Hill SSSI,England,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,51.8183,-0.623599,,,,,,,2017-04-15T00:00:00,15,4,2017,7634625,7634625,HUMAN_OBSERVATION,CLO,EBIRD,OBS932282674,,,,CC0_1_0,,obsr760241,,,2021-03-09T12:57:05.594Z,,COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
2802089526,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS921577268,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza calandra,,SPECIES,"Emberiza calandra Linnaeus, 1758",Emberiza calandra,,GB,Choseley Drying Barns,England,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,52.9473,0.614915,,,,,,,2014-05-10T00:00:00,10,5,2014,7634625,7634625,HUMAN_OBSERVATION,CLO,EBIRD,OBS921577268,,,,CC0_1_0,,obsr1370924,,,2021-03-09T12:55:52.908Z,,COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
2802070435,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS875676093,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza calandra,,SPECIES,"Emberiza calandra Linnaeus, 1758",Emberiza calandra,,GB,"Grange Farm, Knapwell (TL36 G)",England,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,52.2487,-0.055533,,,,,,,2016-12-15T00:00:00,15,12,2016,7634625,7634625,HUMAN_OBSERVATION,CLO,EBIRD,OBS875676093,,,,CC0_1_0,,obsr1387074,,,2021-03-09T13:05:33.182Z,,COORDINATE_ROUNDED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
2802045500,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS899495578,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza calandra,,SPECIES,"Emberiza calandra Linnaeus, 1758",Emberiza calandra,,GB,Long Eaton Gravel Pits,England,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,52.8844,-1.25257,,,,,,,2004-12-27T00:00:00,27,12,2004,7634625,7634625,HUMAN_OBSERVATION,CLO,EBIRD,OBS899495578,,,,CC0_1_0,,obsr1654743,,,2021-03-09T13:04:51.912Z,,COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
2802027600,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS875686712,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza calandra,,SPECIES,"Emberiza calandra Linnaeus, 1758",Emberiza calandra,,GB,"Grange Farm, Knapwell (TL36 G)",England,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,52.2487,-0.055533,,,,,,,2009-11-17T00:00:00,17,11,2009,7634625,7634625,HUMAN_OBSERVATION,CLO,EBIRD,OBS875686712,,,,CC0_1_0,,obsr1387074,,,2021-03-09T12:56:50.543Z,,COORDINATE_ROUNDED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
2802013056,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS857464563,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza calandra,,SPECIES,"Emberiza calandra Linnaeus, 1758",Emberiza calandra,,GB,Little Paxton Pits LNR,England,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,52.2519,-0.244446,,,,,,,1993-05-23T00:00:00,23,5,1993,7634625,7634625,HUMAN_OBSERVATION,CLO,EBIRD,OBS857464563,,,,CC0_1_0,,obsr839721,,,2021-03-09T12:55:23.138Z,,COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
2802009677,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS851806990,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza calandra,,SPECIES,"Emberiza calandra Linnaeus, 1758",Emberiza calandra,,GB,St Fagans National Museum Grounds and Woods,Wales,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,51.4868,-3.27148,,,,,,,2019-07-07T00:00:00,7,7,2019,7634625,7634625,HUMAN_OBSERVATION,CLO,EBIRD,OBS851806990,,,,CC0_1_0,,obsr856484,,,2021-03-09T13:06:06.983Z,,COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
2801980002,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS926078872,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza calandra,,SPECIES,"Emberiza calandra Linnaeus, 1758",Emberiza calandra,,GB,Flamborough Head,England,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,54.1168,-0.077527,,,,,,,1995-05-08T00:00:00,8,5,1995,7634625,7634625,HUMAN_OBSERVATION,CLO,EBIRD,OBS926078872,,,,CC0_1_0,,obsr1584137,,,2021-03-09T12:55:08.905Z,,COORDINATE_ROUNDED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
2801943615,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS892517252,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza calandra,,SPECIES,"Emberiza calandra Linnaeus, 1758",Emberiza calandra,,GB,Capel Fleet Raptor Viewpoint,England,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,51.3759,0.905042,,,,,,,1997-07-01T00:00:00,1,7,1997,7634625,7634625,HUMAN_OBSERVATION,CLO,EBIRD,OBS892517252,,,,CC0_1_0,,obsr160430,,,2021-03-09T12:56:19.399Z,,COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
2801889455,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS906787149,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza calandra,,SPECIES,"Emberiza calandra Linnaeus, 1758",Emberiza calandra,,GB,RSPB Bempton Cliffs,England,PRESENT,50,e2e717bf-551a-4917-bdc9-4fa0f342c530,54.1492,-0.16796,,,,,,,2019-03-29T00:00:00,29,3,2019,7634625,7634625,HUMAN_OBSERVATION,CLO,EBIRD,OBS906787149,,,,CC0_1_0,,obsr1670968,,,2021-03-09T12:55:08.071Z,,COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
